cluster,annotation_type,gene
5,binds to AHNAK,HNRNPH1
0,PTM - N-acetylmethionine,HNRNPH2
1,binds to HNRNPA3,HNRNPH2
2,binds to DDX5,HNRNPH2
3,PTM - N-acetylmethionine,HNRNPH2
0,PTM - N-acetylmethionine,HNRNPH3
1,PTM - N-acetylmethionine,HNRNPH3
2,PTM - N-acetylmethionine,HNRNPH3
3,PTM - N-acetylmethionine,HNRNPH3
4,PTM - N-acetylmethionine,HNRNPH3
0,binds to KHDRBS3,HNRNPK
1,binds to PCBP1,HNRNPK
2,binds to PCBP1,HNRNPK
3,binds to ABI1,HNRNPK
4,PTM - N-acetylmethionine,HNRNPK
0,binds to ATXN1,HNRNPLL
1,binds to BARD1,HNRNPLL
2,binds to ATXN1,HNRNPLL
3,binds to ATXN1,HNRNPLL
4,binds to ATXN1,HNRNPLL
5,binds to BOLL,HNRNPLL
0,binds to ABCC1,HNRNPL
1,binds to ABCC1,HNRNPL
2,binds to DDX17,HNRNPL
3,binds to CSE1L,HNRNPL
4,binds to ABCC1,HNRNPL
5,binds to HMG20B,HNRNPL
0,PTM - N-acetylalanine,HNRNPM
1,binds to TNPO1,HNRNPM
2,binds to AKAP9,HNRNPM
3,binds to AKAP9,HNRNPM
4,PTM - N-acetylalanine,HNRNPM
5,binds to AKAP9,HNRNPM
0,binds to ABL1,HNRNPR
1,PTM - N-acetylalanine,HNRNPR
2,PTM - N-acetylalanine,HNRNPR
3,PTM - N-acetylalanine,HNRNPR
4,binds to ABL1,HNRNPR
5,PTM - N-acetylalanine,HNRNPR
0,PTM - Phosphoserine,HNRNPUL1
1,PTM - Phosphoserine,HNRNPUL1
2,PTM - Phosphoserine,HNRNPUL1
3,PTM - Phosphoserine,HNRNPUL1
4,PTM - Phosphoserine,HNRNPUL1
5,binds to ATP6V1H,HNRNPUL1
0,PTM - Phosphoserine,HNRNPUL2
1,PTM - Phosphoserine,HNRNPUL2
2,PTM - Phosphoserine,HNRNPUL2
3,PTM - Phosphoserine,HNRNPUL2
4,PTM - Phosphoserine,HNRNPUL2
0,Binding site,HNRNPU
1,PTM - N-acetylserine; partial,HNRNPU
2,Sensor for electrophilic agents,HNRNPU
3,Binding site,HNRNPU
4,Binding site,HNRNPU
5,Binding site,HNRNPU
2,binds to LRRK2,HOGA1
3,binds to LRRK2,HOGA1
4,binds to LRRK2,HOGA1
0,binds to HOMER3,HOMER1
1,binds to BRME1,HOMER1
2,PTM - N-acetylglycine,HOMER1
3,PTM - N-acetylglycine,HOMER1
4,binds to STX12,HOMER1
0,binds to ABI2,HOMER3
1,binds to EAF1,HOMER3
2,binds to ABI2,HOMER3
3,binds to ABI2,HOMER3
4,binds to DYNLL2,HOMER3
5,binds to ABI3,HOMER3
0,DNA binding,HOMEZ
1,DNA binding,HOMEZ
2,binds to AEN,HOMEZ
3,DNA binding,HOMEZ
4,PTM - Phosphoserine,HOMEZ
5,binds to AEN,HOMEZ
0,PTM - N-acetylmethionine,HOOK1
1,PTM - N-acetylmethionine,HOOK1
2,binds to TBC1D7,HOOK1
3,PTM - N-acetylmethionine,HOOK1
4,binds to AKTIP,HOOK1
5,PTM - N-acetylmethionine,HOOK1
0,PTM - Phosphoserine,HOOK2
1,PTM - Phosphoserine,HOOK2
2,PTM - Phosphoserine,HOOK2
3,PTM - Phosphoserine,HOOK2
4,PTM - Phosphoserine,HOOK2
5,PTM - Phosphoserine,HOOK2
0,PTM - N-acetylmethionine,HOOK3
1,binds to AKTIP,HOOK3
2,PTM - N-acetylmethionine,HOOK3
3,PTM - N-acetylmethionine,HOOK3
4,PTM - N-acetylmethionine,HOOK3
5,PTM - N-acetylmethionine,HOOK3
0,binds to EPC1,HOPX
1,DNA binding,HOPX
2,DNA binding,HOPX
3,DNA binding,HOPX
0,PTM - Phosphoserine,HORMAD1
1,PTM - Phosphoserine,HORMAD1
2,PTM - Phosphoserine,HORMAD1
3,PTM - Phosphoserine,HORMAD1
4,PTM - Phosphoserine,HORMAD1
5,PTM - Phosphoserine,HORMAD1
0,DNA binding,HOXA10
1,binds to POLR3D,HOXA10
2,binds to POLR3D,HOXA10
3,DNA binding,HOXA10
4,DNA binding,HOXA10
5,DNA binding,HOXA10
0,DNA binding,HOXA11
1,DNA binding,HOXA11
2,DNA binding,HOXA11
3,DNA binding,HOXA11
0,DNA binding,HOXA13
1,binds to MEIS1,HOXA13
2,DNA binding,HOXA13
3,binds to MEIS1,HOXA13
4,DNA binding,HOXA13
5,binds to MEIS1,HOXA13
0,binds to ADAMTSL4,HOXA1
1,DNA binding,HOXA1
2,DNA binding,HOXA1
3,DNA binding,HOXA1
4,binds to PBX2,HOXA1
5,DNA binding,HOXA1
0,DNA binding,HOXA2
1,DNA binding,HOXA2
2,DNA binding,HOXA2
3,DNA binding,HOXA2
4,DNA binding,HOXA2
5,DNA binding,HOXA2
0,DNA binding,HOXA3
1,DNA binding,HOXA3
2,DNA binding,HOXA3
3,DNA binding,HOXA3
4,binds to POT1,HOXA3
5,binds to ARPC3,HOXA3
0,DNA binding,HOXA4
1,DNA binding,HOXA4
2,DNA binding,HOXA4
3,DNA binding,HOXA4
4,DNA binding,HOXA4
5,DNA binding,HOXA4
0,DNA binding,HOXA5
1,DNA binding,HOXA5
2,DNA binding,HOXA5
3,binds to FOXA2,HOXA5
4,DNA binding,HOXA5
5,DNA binding,HOXA5
0,DNA binding,HOXA6
1,DNA binding,HOXA6
2,DNA binding,HOXA6
3,DNA binding,HOXA6
4,DNA binding,HOXA6
5,DNA binding,HOXA6
0,DNA binding,HOXA7
1,binds to JUNB,HOXA7
2,binds to JUNB,HOXA7
3,binds to NPM1,HOXA7
0,DNA binding,HOXA9
1,DNA binding,HOXA9
2,binds to PLSCR1,HOXA9
3,PTM - Symmetric dimethylarginine,HOXA9
0,DNA binding,HOXB13
1,DNA binding,HOXB13
2,DNA binding,HOXB13
3,DNA binding,HOXB13
4,DNA binding,HOXB13
5,binds to IRF4,HOXB13
0,binds to PAX6,HOXB1
1,binds to PAX6,HOXB1
2,DNA binding,HOXB1
3,DNA binding,HOXB1
4,DNA binding,HOXB1
5,binds to PAX6,HOXB1
0,PTM - Phosphoserine,HOXB2
1,PTM - Phosphoserine,HOXB2
2,PTM - Phosphoserine,HOXB2
3,DNA binding,HOXB2
4,DNA binding,HOXB2
5,DNA binding,HOXB2
0,DNA binding,HOXB3
1,DNA binding,HOXB3
2,DNA binding,HOXB3
3,DNA binding,HOXB3
4,DNA binding,HOXB3
5,DNA binding,HOXB3
0,DNA binding,HOXB4
1,DNA binding,HOXB4
2,PTM - Phosphoserine,HOXB4
3,PTM - Phosphoserine,HOXB4
4,PTM - Phosphoserine,HOXB4
5,DNA binding,HOXB4
0,DNA binding,HOXB5
1,binds to CTBP1,HOXB5
2,DNA binding,HOXB5
3,DNA binding,HOXB5
4,DNA binding,HOXB5
5,DNA binding,HOXB5
0,DNA binding,HOXB6
1,binds to KRT15,HOXB6
2,binds to CLK3,HOXB6
3,DNA binding,HOXB6
4,PTM - Phosphoserine,HOXB6
5,binds to ALX4,HOXB6
0,DNA binding,HOXB7
1,binds to CREBBP,HOXB7
2,binds to CLK3,HOXB7
3,DNA binding,HOXB7
4,binds to CLK3,HOXB7
5,binds to CLK3,HOXB7
0,DNA binding,HOXB8
1,DNA binding,HOXB8
2,DNA binding,HOXB8
3,DNA binding,HOXB8
4,DNA binding,HOXB8
5,DNA binding,HOXB8
0,DNA binding,HOXB9
1,DNA binding,HOXB9
2,binds to BTG1,HOXB9
3,PTM - Phosphothreonine,HOXB9
0,PTM - Phosphothreonine,HOXC10
1,DNA binding,HOXC10
2,DNA binding,HOXC10
3,DNA binding,HOXC10
4,PTM - Phosphothreonine,HOXC10
5,binds to YWHAG,HOXC10
0,DNA binding,HOXC11
1,binds to MEIS1,HOXC11
2,DNA binding,HOXC11
3,binds to SMAD3,HOXC11
4,binds to GTF2A1L,HOXC11
5,DNA binding,HOXC11
0,DNA binding,HOXC12
1,DNA binding,HOXC12
2,DNA binding,HOXC12
3,DNA binding,HOXC12
4,DNA binding,HOXC12
5,DNA binding,HOXC12
0,DNA binding,HOXC13
1,DNA binding,HOXC13
2,DNA binding,HOXC13
3,DNA binding,HOXC13
4,DNA binding,HOXC13
0,binds to HTT,HOXC4
1,DNA binding,HOXC4
2,DNA binding,HOXC4
3,binds to HTT,HOXC4
4,DNA binding,HOXC4
5,DNA binding,HOXC4
0,DNA binding,HOXC5
1,DNA binding,HOXC5
2,DNA binding,HOXC5
3,DNA binding,HOXC5
4,DNA binding,HOXC5
5,DNA binding,HOXC5
0,DNA binding,HOXC6
1,DNA binding,HOXC6
2,binds to APC,HOXC6
3,DNA binding,HOXC6
0,binds to ABL1,HOXC8
1,binds to BTG2,HOXC8
2,DNA binding,HOXC8
3,DNA binding,HOXC8
4,DNA binding,HOXC8
5,DNA binding,HOXC8
0,DNA binding,HOXC9
1,DNA binding,HOXC9
2,DNA binding,HOXC9
3,binds to CBX6,HOXC9
4,binds to CBX6,HOXC9
5,PTM - Phosphoserine,HOXC9
0,DNA binding,HOXD10
1,DNA binding,HOXD10
2,DNA binding,HOXD10
3,DNA binding,HOXD10
4,DNA binding,HOXD10
5,DNA binding,HOXD10
0,DNA binding,HOXD11
1,DNA binding,HOXD11
2,DNA binding,HOXD11
3,DNA binding,HOXD11
4,DNA binding,HOXD11
5,DNA binding,HOXD11
0,DNA binding,HOXD12
1,DNA binding,HOXD12
2,DNA binding,HOXD12
3,DNA binding,HOXD12
4,DNA binding,HOXD12
5,DNA binding,HOXD12
0,DNA binding,HOXD13
1,DNA binding,HOXD13
2,DNA binding,HOXD13
3,DNA binding,HOXD13
4,DNA binding,HOXD13
5,DNA binding,HOXD13
0,DNA binding,HOXD1
1,DNA binding,HOXD1
2,DNA binding,HOXD1
3,DNA binding,HOXD1
0,DNA binding,HOXD3
1,DNA binding,HOXD3
2,DNA binding,HOXD3
3,binds to ALX4,HOXD3
4,DNA binding,HOXD3
5,DNA binding,HOXD3
0,binds to CNOT7,HOXD4
1,DNA binding,HOXD4
2,DNA binding,HOXD4
3,DNA binding,HOXD4
4,binds to ASB8,HOXD4
0,DNA binding,HOXD8
1,DNA binding,HOXD8
2,DNA binding,HOXD8
3,binds to CDKN1A,HOXD8
4,binds to CDKN1A,HOXD8
5,binds to CDKN1A,HOXD8
0,DNA binding,HOXD9
1,DNA binding,HOXD9
2,DNA binding,HOXD9
3,binds to ETV5,HOXD9
0,binds to ESR2,HP1BP3
1,binds to ESR2,HP1BP3
2,PTM - N-acetylalanine,HP1BP3
3,PTM - N-acetylalanine,HP1BP3
4,PTM - N-acetylalanine,HP1BP3
5,PTM - N-acetylalanine,HP1BP3
0,binds to ATXN1,HPCAL1
1,Binding site,HPCAL1
2,Binding site,HPCAL1
3,Binding site,HPCAL1
4,binds to ATXN1,HPCAL1
5,binds to KRTAP4-2,HPCAL1
0,binds to TSC22D3,HPCAL4
1,binds to TTC12,HPCAL4
2,binds to TSC22D3,HPCAL4
3,binds to TSC22D3,HPCAL4
4,binds to TTC12,HPCAL4
5,binds to TSC22D3,HPCAL4
0,Binding site,HPCA
1,binds to NAIP,HPCA
2,binds to NAIP,HPCA
3,Binding site,HPCA
4,Binding site,HPCA
5,binds to NAIP,HPCA
0,binds to RIF1,HPDL
1,binds to TST,HPDL
2,binds to RIF1,HPDL
3,binds to M6PR,HPDL
4,binds to STMN1,HPDL
5,Binding site,HPDL
0,PTM - N-acetylthreonine,HPD
1,Binding site,HPD
2,binds to HIVEP1,HPD
3,binds to RIDA,HPD
4,PTM - N-acetylthreonine,HPD
5,PTM - N-acetylthreonine,HPD
0,binds to HK3,HPGDS
1,Binding site,HPGDS
2,binds to HK3,HPGDS
3,Binding site,HPGDS
0,Binding site,HPGD
1,Binding site,HPGD
2,Active site,HPGD
3,Active site,HPGD
4,Binding site,HPGD
5,Active site,HPGD
0,binds to GLP1R,HPN
1,binds to GLP1R,HPN
2,binds to GLP1R,HPN
3,binds to GLP1R,HPN
4,binds to GLP1R,HPN
5,binds to GLP1R,HPN
0,binds to GOT1,HPRT1
1,binds to FANCA,HPRT1
2,binds to MTAP,HPRT1
3,binds to NTAQ1,HPRT1
4,binds to PRTFDC1,HPRT1
0,binds to VKORC1,HPR
4,binds to VKORC1,HPR
5,binds to VKORC1,HPR
0,PTM - Phosphoserine,HPS4
1,PTM - Phosphoserine,HPS4
2,PTM - Phosphoserine,HPS4
3,PTM - Phosphoserine,HPS4
4,PTM - Phosphoserine,HPS4
5,PTM - Phosphoserine,HPS4
0,PTM - Phosphoserine,HPS5
1,PTM - Phosphoserine,HPS5
2,PTM - Phosphoserine,HPS5
3,PTM - Phosphoserine,HPS5
4,PTM - Phosphoserine,HPS5
5,PTM - Phosphoserine,HPS5
0,binds to GLUD1,HPX
1,binds to GLUD1,HPX
4,Binding site,HPX
5,binds to GLUD1,HPX
0,binds to HBA1,HP
2,binds to HBB,HP
4,binds to APOE,HP
5,binds to APOA1,HP
0,binds to CDC25C,HRAS
1,binds to RASSF5,HRAS
2,binds to AFDN,HRAS
3,binds to AFDN,HRAS
5,binds to AFDN,HRAS
0,PTM - Phosphothreonine; by FAM20C,HRC
1,PTM - Phosphothreonine; by FAM20C,HRC
2,PTM - Phosphothreonine; by FAM20C,HRC
3,PTM - Phosphothreonine; by FAM20C,HRC
4,PTM - Phosphothreonine; by FAM20C,HRC
5,PTM - Phosphothreonine; by FAM20C,HRC
0,Sensor for electrophilic agents,HRG
1,binds to CHRD,HRG
2,Sensor for electrophilic agents,HRG
0,Binding site,HRH1
1,Binding site,HRH1
2,PTM - Phosphothreonine,HRH1
3,Binding site,HRH1
4,Binding site,HRH1
5,Binding site,HRH1
0,Sensor for electrophilic agents,HRH2
1,Sensor for electrophilic agents,HRH2
2,Sensor for electrophilic agents,HRH2
3,Sensor for electrophilic agents,HRH2
4,Sensor for electrophilic agents,HRH2
5,Sensor for electrophilic agents,HRH2
0,binds to DRD1,HRH3
1,PTM - Phosphoserine,HRH3
2,binds to DRD1,HRH3
3,binds to DRD1,HRH3
4,binds to DRD1,HRH3
5,binds to DRD1,HRH3
0,binds to BAD,HRK
1,binds to BAD,HRK
2,binds to BAD,HRK
3,binds to BAD,HRK
4,binds to BAD,HRK
5,binds to BAD,HRK
0,PTM - Phosphoserine,HRNR
1,Binding site,HRNR
2,Binding site,HRNR
3,Binding site,HRNR
4,Binding site,HRNR
5,Binding site,HRNR
0,Binding site,HR
1,Binding site,HR
2,Binding site,HR
3,Binding site,HR
4,Binding site,HR
5,Binding site,HR
0,PTM - N-acetylmethionine,HS1BP3
1,PTM - N-acetylmethionine,HS1BP3
2,PTM - N-acetylmethionine,HS1BP3
3,PTM - N-acetylmethionine,HS1BP3
4,PTM - N-acetylmethionine,HS1BP3
5,PTM - N-acetylmethionine,HS1BP3
0,Active site,HS2ST1
1,Active site,HS2ST1
2,Active site,HS2ST1
3,Active site,HS2ST1
4,Active site,HS2ST1
5,Binding site,HS2ST1
0,Binding site,HS3ST1
1,Binding site,HS3ST1
3,Binding site,HS3ST1
4,Binding site,HS3ST1
0,Binding site,HS3ST2
1,Binding site,HS3ST2
2,Binding site,HS3ST2
3,Binding site,HS3ST2
4,Binding site,HS3ST2
5,Binding site,HS3ST2
0,binds to UPF2,HS3ST3A1
1,binds to UPF2,HS3ST3A1
2,Binding site,HS3ST3A1
3,binds to UPF2,HS3ST3A1
4,binds to UPF2,HS3ST3A1
5,Binding site,HS3ST3A1
0,Binding site,HS3ST3B1
1,Binding site,HS3ST3B1
2,Binding site,HS3ST3B1
3,Binding site,HS3ST3B1
4,Binding site,HS3ST3B1
5,Binding site,HS3ST3B1
0,Binding site,HS3ST4
1,Binding site,HS3ST4
2,Binding site,HS3ST4
3,Binding site,HS3ST4
4,Binding site,HS3ST4
5,Binding site,HS3ST4
0,Binding site,HS3ST5
1,Binding site,HS3ST5
2,Binding site,HS3ST5
3,Binding site,HS3ST5
4,Binding site,HS3ST5
5,Binding site,HS3ST5
0,Binding site,HS3ST6
1,Binding site,HS3ST6
2,Binding site,HS3ST6
3,Binding site,HS3ST6
4,Binding site,HS3ST6
5,Binding site,HS3ST6
0,Binding site,HS6ST1
1,Binding site,HS6ST1
2,Binding site,HS6ST1
3,Active site,HS6ST1
4,Binding site,HS6ST1
5,Active site,HS6ST1
0,Binding site,HS6ST2
1,Binding site,HS6ST2
2,Binding site,HS6ST2
3,Active site,HS6ST2
4,Active site,HS6ST2
5,Binding site,HS6ST2
0,Binding site,HS6ST3
1,Binding site,HS6ST3
2,Active site,HS6ST3
3,Active site,HS6ST3
4,Active site,HS6ST3
5,Binding site,HS6ST3
0,binds to CCHCR1,HSBP1
1,binds to HSF1,HSBP1
2,binds to CCHCR1,HSBP1
0,binds to AGTRAP,HSCB
1,binds to BBS1,HSCB
2,binds to BBS2,HSCB
3,binds to BBS1,HSCB
4,Binding site,HSCB
5,binds to BBS1,HSCB
1,Binding site,HSD11B1L
2,Binding site,HSD11B1L
3,Active site,HSD11B1L
0,binds to GKAP1,HSD11B1
1,Active site,HSD11B1
2,Binding site,HSD11B1
3,Binding site,HSD11B1
4,Active site,HSD11B1
5,Active site,HSD11B1
0,Binding site,HSD11B2
1,Active site,HSD11B2
2,Binding site,HSD11B2
3,Active site,HSD11B2
4,Binding site,HSD11B2
5,Binding site,HSD11B2
0,PTM - N-acetylalanine,HSD17B10
1,binds to APP,HSD17B10
2,binds to ATP1B3,HSD17B10
3,Binding site,HSD17B10
4,binds to HNRNPAB,HSD17B10
5,binds to FKBP1B,HSD17B10
1,Binding site,HSD17B11
2,Binding site,HSD17B11
3,Binding site,HSD17B11
4,Active site,HSD17B11
5,Active site,HSD17B11
0,binds to UBQLN1,HSD17B12
1,Binding site,HSD17B12
2,binds to ATP1B1,HSD17B12
3,binds to CYC1,HSD17B12
4,binds to AFG3L2,HSD17B12
5,Binding site,HSD17B12
0,Binding site,HSD17B13
1,Active site,HSD17B13
2,Binding site,HSD17B13
3,Active site,HSD17B13
5,Binding site,HSD17B13
0,binds to PSMA1,HSD17B14
1,binds to MIA3,HSD17B14
2,Active site,HSD17B14
3,Active site,HSD17B14
4,binds to CDKN2D,HSD17B14
5,binds to GLO1,HSD17B14
0,Binding site,HSD17B1
1,Binding site,HSD17B1
2,Binding site,HSD17B1
3,Active site,HSD17B1
0,Binding site,HSD17B2
1,Binding site,HSD17B2
2,Binding site,HSD17B2
3,Active site,HSD17B2
0,binds to CDH1,HSD17B3
1,binds to CDH1,HSD17B3
2,Binding site,HSD17B3
3,binds to BUB1,HSD17B3
4,binds to BUB1,HSD17B3
5,Binding site,HSD17B3
0,binds to ACAA1,HSD17B4
1,binds to BAK1,HSD17B4
2,Binding site,HSD17B4
3,binds to BAK1,HSD17B4
4,binds to BAK1,HSD17B4
5,binds to BAK1,HSD17B4
0,Active site,HSD17B6
1,Binding site,HSD17B6
2,Binding site,HSD17B6
4,Active site,HSD17B6
5,Active site,HSD17B6
0,binds to CA1,HSD17B7
1,Binding site,HSD17B7
2,binds to BRSK1,HSD17B7
3,binds to BRSK1,HSD17B7
4,binds to BRSK1,HSD17B7
5,Binding site,HSD17B7
0,binds to QDPR,HSD17B8
1,Binding site,HSD17B8
2,PTM - Phosphoserine,HSD17B8
3,binds to QDPR,HSD17B8
4,Binding site,HSD17B8
5,Binding site,HSD17B8
0,Binding site,HSD3B1
1,Active site,HSD3B1
2,Active site,HSD3B1
3,Active site,HSD3B1
4,Active site,HSD3B1
5,Binding site,HSD3B1
0,Active site,HSD3B2
1,Active site,HSD3B2
2,Active site,HSD3B2
3,Active site,HSD3B2
4,Active site,HSD3B2
5,Active site,HSD3B2
0,binds to NOTCH2NLA,HSD3B7
1,Binding site,HSD3B7
2,binds to ICAM1,HSD3B7
3,binds to ICAM1,HSD3B7
0,Binding site,HSDL1
1,Binding site,HSDL1
2,PTM - N-acetylalanine,HSDL1
3,Binding site,HSDL1
4,Binding site,HSDL1
5,Binding site,HSDL1
0,Active site,HSDL2
1,binds to DLD,HSDL2
2,Binding site,HSDL2
3,binds to DLD,HSDL2
4,Active site,HSDL2
5,binds to DLD,HSDL2
0,binds to DHPS,HSF1
1,binds to TPRKB,HSF1
2,PTM - N-acetylmethionine,HSF1
3,binds to AARS1,HSF1
4,PTM - N-acetylmethionine,HSF1
5,PTM - N-acetylmethionine,HSF1
0,binds to HSF2,HSF2BP
1,binds to UBE2I,HSF2BP
2,binds to HSF2,HSF2BP
3,binds to UBE2I,HSF2BP
4,binds to UBE2I,HSF2BP
5,binds to UBE2I,HSF2BP
0,DNA binding,HSF2
1,DNA binding,HSF2
2,binds to CALCR,HSF2
3,binds to BAG2,HSF2
0,DNA binding,HSF4
1,DNA binding,HSF4
2,binds to FAM200C,HSF4
3,DNA binding,HSF4
4,PTM - Phosphoserine,HSF4
0,DNA binding,HSF5
1,DNA binding,HSF5
2,DNA binding,HSF5
3,DNA binding,HSF5
4,DNA binding,HSF5
5,DNA binding,HSF5
0,DNA binding,HSFX2
1,DNA binding,HSFX2
2,DNA binding,HSFX2
3,DNA binding,HSFX2
4,DNA binding,HSFX2
5,DNA binding,HSFX2
0,binds to AR,HSH2D
1,binds to AR,HSH2D
2,binds to AR,HSH2D
3,binds to AR,HSH2D
4,binds to AR,HSH2D
5,binds to AR,HSH2D
0,binds to ACTB,HSP90AA1
1,binds to AGO2,HSP90AA1
2,binds to STUB1,HSP90AA1
3,binds to EGFR,HSP90AA1
4,binds to EGFR,HSP90AA1
5,binds to LCK,HSP90AA1
0,binds to ABL1,HSP90AB1
1,binds to AGO3,HSP90AB1
2,binds to ABL1,HSP90AB1
3,binds to CHORDC1,HSP90AB1
4,binds to MAOA,HSP90AB1
5,binds to MYL6,HSP90AB1
0,PTM - Phosphoserine,HSP90B1
1,binds to BIRC2,HSP90B1
2,binds to BIRC2,HSP90B1
3,binds to BIRC2,HSP90B1
4,PTM - Phosphoserine,HSP90B1
5,binds to SOD2,HSP90B1
0,PTM - N-acetylalanine,HSPA12A
1,PTM - N-acetylalanine,HSPA12A
2,PTM - N-acetylalanine,HSPA12A
3,PTM - N-acetylalanine,HSPA12A
0,PTM - Phosphoserine,HSPA12B
1,PTM - Phosphoserine,HSPA12B
2,PTM - Phosphoserine,HSPA12B
3,PTM - Phosphoserine,HSPA12B
4,PTM - Phosphoserine,HSPA12B
5,PTM - Phosphoserine,HSPA12B
0,binds to POLE4,HSPA13
1,binds to BAG6,HSPA13
2,binds to BAG6,HSPA13
4,binds to BAG6,HSPA13
5,binds to BAG6,HSPA13
0,PTM - N-acetylalanine,HSPA1A
1,PTM - N-acetylalanine,HSPA1A
2,binds to HSPBP1,HSPA1A
3,binds to STUB1,HSPA1A
4,binds to ESR2,HSPA1A
5,binds to BAG5,HSPA1A
0,binds to ALDOC,HSPA1B
1,binds to AIFM1,HSPA1B
2,binds to HAT1,HSPA1B
3,binds to STUB1,HSPA1B
4,binds to HMGA1,HSPA1B
5,binds to BAG1,HSPA1B
0,binds to CDC5L,HSPA1L
1,binds to TXN2,HSPA1L
2,binds to CDC5L,HSPA1L
3,binds to DNAJC19,HSPA1L
4,binds to DNAJC19,HSPA1L
5,binds to CDC5L,HSPA1L
0,binds to SAE1,HSPA2
1,binds to EWSR1,HSPA2
2,binds to EWSR1,HSPA2
3,binds to GRPEL1,HSPA2
4,binds to GRPEL1,HSPA2
5,binds to EWSR1,HSPA2
0,binds to LUC7L2,HSPA4L
1,binds to HINT1,HSPA4L
2,binds to APEH,HSPA4L
3,binds to DHX9,HSPA4L
4,binds to DNAJC8,HSPA4L
0,binds to JMJD6,HSPA4
1,PTM - N6-acetyllysine,HSPA4
2,binds to DDIT4,HSPA4
3,binds to APAF1,HSPA4
4,binds to APPBP2,HSPA4
5,binds to CSNK2A1,HSPA4
0,binds to ID2,HSPA5
2,binds to A2M,HSPA5
3,binds to APC,HSPA5
4,binds to A2M,HSPA5
5,binds to PTEN,HSPA5
0,binds to PGLYRP1,HSPA6
1,binds to ADCK5,HSPA6
2,binds to ADCK5,HSPA6
3,binds to ADCK5,HSPA6
4,binds to CISH,HSPA6
5,binds to ADCK5,HSPA6
0,binds to DNAJB1,HSPA8
1,binds to STUB1,HSPA8
2,binds to ATM,HSPA8
3,binds to TM4SF1,HSPA8
4,binds to PCBD1,HSPA8
5,binds to HSPBP1,HSPA8
0,binds to HSPE1,HSPA9
2,binds to BCL2,HSPA9
3,binds to AHNAK,HSPA9
5,binds to DNAJC19,HSPA9
0,binds to ACAP2,HSPB1
1,PTM - Omega-N-methylarginine,HSPB1
2,binds to ACAP2,HSPB1
3,binds to GDI2,HSPB1
4,binds to ARIH1,HSPB1
5,PTM - Omega-N-methylarginine,HSPB1
0,binds to HSPB8,HSPB6
1,binds to YWHAG,HSPB6
2,binds to HSPB8,HSPB6
3,PTM - Phosphoserine; by PKA,HSPB6
4,PTM - Phosphoserine; by PKA,HSPB6
5,binds to HSPB8,HSPB6
0,binds to HSPB1,HSPB8
1,binds to HSPB1,HSPB8
2,binds to HSPB2,HSPB8
3,binds to HSPB7,HSPB8
0,binds to GPN1,HSPBP1
1,binds to ASNS,HSPBP1
2,binds to CSTF1,HSPBP1
3,binds to GARS1,HSPBP1
4,PTM - Phosphoserine,HSPBP1
5,binds to ASNS,HSPBP1
0,binds to HSPE1,HSPD1
1,binds to MPST,HSPD1
2,binds to CCAR2,HSPD1
3,binds to FTL,HSPD1
0,binds to CKMT2,HSPE1
1,binds to HSPA4L,HSPE1
2,binds to FHIT,HSPE1
3,binds to CBX3,HSPE1
4,binds to GBP7,HSPE1
0,binds to ATF7IP,HSPG2
2,binds to ATF7IP,HSPG2
3,binds to ATF7IP,HSPG2
0,binds to CARM1,HSPH1
1,binds to CARM1,HSPH1
2,binds to TAGLN2,HSPH1
3,binds to DYNLRB1,HSPH1
4,binds to H4C1,HSPH1
0,PTM - N-acetylalanine,HTATIP2
1,binds to RAB5A,HTATIP2
2,Binding site,HTATIP2
3,binds to RAB5A,HTATIP2
4,binds to SH3GLB1,HTATIP2
5,Active site,HTATIP2
0,binds to AP3D1,HTATSF1
1,binds to AP3D1,HTATSF1
2,binds to AP3D1,HTATSF1
3,PTM - N-acetylserine,HTATSF1
4,PTM - N-acetylserine,HTATSF1
0,binds to FGFR1,HTR1A
1,binds to S1PR3,HTR1A
2,binds to GABBR2,HTR1A
3,binds to FGFR1,HTR1A
4,binds to GABBR2,HTR1A
0,binds to HTR1A,HTR1B
1,Sensor for electrophilic agents,HTR1B
2,binds to HTR1A,HTR1B
3,Binding site,HTR1B
4,binds to MDFI,HTR1B
5,Sensor for electrophilic agents,HTR1B
0,Binding site,HTR1D
1,binds to HTR1B,HTR1D
2,Binding site,HTR1D
3,binds to S1PR1,HTR1D
4,binds to HTR1B,HTR1D
5,binds to HTR1A,HTR1D
0,Binding site,HTR1E
1,binds to MEOX2,HTR1E
2,Binding site,HTR1E
3,Binding site,HTR1E
4,binds to MEOX2,HTR1E
5,Binding site,HTR1E
0,Binding site,HTR1F
1,Binding site,HTR1F
2,Binding site,HTR1F
3,Binding site,HTR1F
0,binds to PPP5C,HTR2A
1,PTM - Phosphoserine,HTR2A
2,binds to NME3,HTR2A
3,binds to NTRK3,HTR2A
4,binds to ANKS1B,HTR2A
5,PTM - Phosphoserine,HTR2A
0,binds to LNX1,HTR2B
1,binds to LNX1,HTR2B
2,binds to GNA11,HTR2B
3,binds to SNTA1,HTR2B
4,Sensor for electrophilic agents,HTR2B
5,Sensor for electrophilic agents,HTR2B
1,Binding site,HTR2C
4,Binding site,HTR2C
0,binds to HTR3B,HTR3A
1,binds to HTR3B,HTR3A
3,binds to HTR3B,HTR3A
4,binds to HTR3B,HTR3A
